Overall Place,Gender Place,Category Place,Name,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time
1,1,,"KIPRUTO, Amos (KEN)",–,,M,–,Elite,1:02:14,02:04:39
2,2,,"GEBRESILASE, Leul (ETH)",–,,M,–,Elite,1:02:14,02:05:12
3,3,,"ABDI, Bashir (BEL)",–,,M,–,Elite,1:02:14,02:05:19
4,4,,"ATANAW, Kinde (ETH)",–,,M,–,Elite,1:02:14,02:05:27
5,5,,"BEKELE, Kenenisa (ETH)",–,,M,–,Elite,1:02:14,02:05:53
6,6,,"LEGESE, Birhanu (ETH)",–,,M,–,Elite,1:02:14,02:06:11
7,7,,"LEMMA, Sisay (ETH)",–,,M,–,Elite,1:02:15,02:07:26
8,8,,"ROBINSON, Brett (AUS)",–,3,M,–,Elite,1:04:27,02:09:52
9,9,,"GHEBRESILASIE, Weynay (GBR)",Shettleston,4,M,–,Elite,1:04:27,02:11:57
10,10,,"SESEMANN, Philip (GBR)",Leeds,7,M,–,Elite,1:04:52,02:12:10
11,11,,"FUTAOKA, Kohei (JPN)",–,2,M,–,Elite,1:04:53,02:14:18
12,12,,"BRADEN, Ross (GBR)",Kent AC,0,M,–,Elite,1:06:07,02:14:32
13,13,,"OKAMOTO, Naoki (JPN)",–,0,M,–,Elite,1:05:11,02:15:05
14,1,,"YEHUALAW, Yalemzerf (ETH)",–,3,W,–,Elite,1:08:46,02:17:26
15,14,,"LEACH, Matthew (GBR)",Bedford & County,9,M,–,Elite,1:06:07,02:17:28
16,15,,"BOWKER, Nick (GBR)",Clapham Chaser,5,M,–,Elite,1:07:45,02:17:35
17,16,,"LAWRENCE, Alexander (GBR)",Victoria Park & Tower Hamlets,3,M,–,Elite,1:07:45,02:17:58
18,2,,"JEPKOSGEI, Joyciline (KEN)",–,1,W,–,Elite,1:08:46,02:18:07
19,3,,"MEGERTU, Alemu (ETH)",–,8,W,–,Elite,1:08:46,02:18:32
20,4,,"KORIR, Judith Jeptum (KEN)",–,7,W,–,Elite,1:08:46,02:18:43
21,5,,"MELLY, Joan Chelimo (ROU)",–,5,W,–,Elite,1:08:46,02:19:27
22,6,,"BEKERE, Ashete (ETH)",–,4,W,–,Elite,1:08:46,02:19:30
23,7,,"NGUGI, Mary (KEN)",–,0,W,–,Elite,1:09:55,02:20:22
24,8,,"KEBEDE, Sutume Asefa (ETH)",–,6,W,–,Elite,1:08:46,02:20:44
25,17,,"MCCANN, Andrew (USA)",–,2,M,–,Elite,1:08:02,02:21:39
26,9,,"HOSODA, Ai (JPN)",–,3,W,–,Elite,1:10:16,02:21:42
27,18,,"AIBA, Naoki (JPN)",–,1,M,–,Elite,1:04:53,02:22:45
28,19,,"ERENJIA, Jia (CHN)",–,6,M,–,Elite,1:04:53,02:25:17
29,10,,"HARVEY, Rose (GBR)",Clapham Chasers,5,W,–,Elite,1:13:59,02:27:59
30,20,,"KOWAL, Yoann (FRA)",–,8,M,–,Elite,1:04:53,02:27:59
31,21,,"STRANGEWAY, William (GBR)",Lincoln Wellington,4,M,–,Elite,1:09:24,02:34:11
32,11,,"KLIMEK, Marci (USA)",–,6,W,–,Elite,1:15:39,02:37:56
33,12,,"TWELL, Stephanie (GBR)",Aldershot Farnham & District,4,W,–,Elite,1:13:59,02:39:16
